AnimeName,Character,Voice_Actor,Anime_Genre,Filename,Anime_image,Is_used
NHK ni Youkoso,"Nakahara, Misaki","Makino, Yui","Comedy, Drama, Psychological, Romance",NHK ni Youkoso - Misaki Nakahara.avi,MisakiNakahara.jpg,X
Nisekoi,"Kirisaki, Chitoge","Touyama, Nao","Comedy, Harem, Romance, School, Shounen",Nisekoi - Chitoge.mp4,Chitoge.png,X
No Game No Life,Shiro,"Kayano, Ai","Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",No Game No Life - Shiro.avi,Shiro.png,X
Noragami,"Yato, Yatogami","Kamiya, Hiroshi","Action, Adventure, Shounen, Supernatural",Noragami - Yato.mp4,Yato.jpg,X
One Piece,"Nami, Cat Buglar","Okamura, Akemi","Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",One Piece - Nami.mp4,Nami.png,X
One Punch Man,"Saitama, Caped Baldy","Furukawa, Makoto","Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",One punch man -Saitama.avi,Saitama.jpg,X
Ore Monogatari!!,"Gouda, Takeo","Eguchi, Takuya","Comedy, Romance, Shoujo",Ore Monogatari!!  - Gouda Takeo.avi,Gouda Takeo.png,X
Overlord,"Ainz Ooal Gown, Momonga","Hino, Satoshi","Action, Adventure, Fantasy, Game, Magic, Supernatural",Overlord - Ainz.avi,Ainz.png,X
Ping Pong: the Animation,"Hoshino, Yutaka ""Peco""","Katayama, Fukujurou","Psychological, Seinen, Sports",Ping Pong the Animation - Peco.avi,Peco.jpg,X
Prince of Tennis,"Echizen, Ryouma","Minagawa, Junko","Action, Comedy, School, Shounen, Sports",PoT - Echizen.mp4,EchizenRyoma.png,X
Prison School,"Fujino, Kiyoshi","Kamiya, Hiroshi","Comedy, Ecchi, Romance, School, Seinen",Prison school - Kiyoshi Fujino.avi,Kiyoshi.jpg,X
Psycho-Pass,"Makishima, Shogo","Takahiro, Sakurai","Action, Police, Psychological, Sci-Fi",PsychoPass - Makishima Shogo.mp4,Makishima Shougo.jpg,X
