AnimeName,Character,Voice_Actor,Anime_Genre,Filename,Anime_image,Is_used,Is_played
Shokugeki no Souma,"Yukihira, Souma","Matsuoka, Yoshitsugu","Ecchi, School, Shounen, Cooking",Shokugeki - Souma.mp4,Souma.jpg,X,FALSE
Spice and Wolf,Holo,"Koshimizu, Ami","Adventure, Fantasy, Historical, Romance",Spice and Wolf - Holo.avi,Holo.jpg,X,FALSE
Star Driver,"Tsunashi, Takuto ""Galactic pretty boy""","Miyano, Mamoru","Action, Mecha, Romance, Shounen",Star Driver - Takuto.mp4,Takuto.jpg,X,FALSE
Steins;Gate,"Shiina, Mayuri ""Mayushii""","Hanazawa, Kana","Sci-Fi, Thriller",SteinsGate - Mayuri.mp4,Mayuri.jpg,X,FALSE
Steins;Gate,"Okabe, Rintarou ""Hououin Kyouma""","Miyano, Mamoru","Sci-Fi, Thriller",SteinsGate - Okabe Rintarou.mp4,Okabe Rintarou.png,X,FALSE
Sword Art Online,"""Lisbeth"" Shinozaki, Rika","Takagaki, Ayahi","Action, Adventure, Fantasy, Game, Romance",Sword Art Online - Lisbeth Shinozaki Rika.avi,Lisbeth.png,X,FALSE
Tokyo Ghoul,"Tsukiyama, Shuu ""Gourmet""","Miyano, Mamoru","Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural",TG - Tsukiyama Shuu.mp4,Tsukiyama Shuu.jpg,X,FALSE
Tiger and Bunny,"Blue Rose, Karina Lyle","Kotobuki, Minako","Action, Comedy, Mystery, Super Power",Tiger and Bunny - Blue Rose.mp4,Blue Rose.jpg,X,FALSE
Toradora,"Aisaka, Taiga ""Palm-top tiger""","Kugimiya, Rie","Comedy, Romance, School, Slice of Life",Toradora - Taiga.avi,Taiga.jpg,X,FALSE
Yamada-kun and the Seven Witches,"Shiraishi, Urara","Osaka, Ryota","Comedy, Harem, Mystery, Romance, School, Shounen, Supernatural",Yamada kun and the Seven Witches - Shiraishi in Yamada's body.avi,Shiraishi + Yamada.jpg,X,FALSE
Yu-Gi-Oh!,"Atem, Pharaoh, Yami Yugi",Dan Green,"Adventure, Game, Shounen",YGO - Atem.mp4,Atem.jpg,X,FALSE
Yowamushi Pedal,"Izumida, Touichirou","Abe, Atsushi","Comedy, Drama, Shounen, Sports",YowaPeda - Izumida.avi,Izumida Touishirou.jpg,X,FALSE
Accel World,Ash Roller,"Suzumura, Kenichi","Action, Game, Romance, School, Sci-Fi",Accel World - Ash Roller.avi,01_Ash Roller.jpg,,FALSE
Air,"Kamio, Misuzu","Kawakami, Tomoko","Drama, Romance, Slice of Life, Supernatural",Air - Misuzu Kamio.avi,02_Misuzu.jpg,,FALSE
Akame ga Kill,"Esdeath ""Ice Queen""","Akesaka, Satomi","Action, Adventure, Fantasy",Akame ga Kill - Esdeath.avi,03_Esdeath.png,,FALSE
Akatsuki no Yona,"Jae-Ha ""Green Dragon""","Suwabe, Junichi","Action, Adventure, Comedy, Fantasy, Romance, Shoujo",Akatsuki no Yona - Jaeha.avi,04_JaeHa.jpg,,FALSE
Angel Beats,Yui,"Kitamura, Eri","Action, Comedy, Drama, School, Supernatural",Angel Beats - Yui.mp4,05_Yui.png,,FALSE
Ao Haru Ride,"Yoshioka, Futaba","Uchida, Maaya","Comedy, Drama, Romance, School, Shoujo, Slice of Life",Ao Haru Ride - Futaba.mp4,06_Futaba.jpg,,FALSE
Ao no Exorcist,"Okimura, Rin","Okamoto, Nobuhiko","Action, Demons, Fantasy, Shounen, Supernatural",Ao no Exorcist - Rin.mp4,07_Rin.jpg,,FALSE
Attack on Titan,Eren Jaeger,"Kaji, Yuki","Action, Drama, Fantasy, Shounen, Super Power",Attack on Titan - Eren.mp4,08_Eren.png,,FALSE
Black Bullet,"Hiruko, Kagetane","Koyama, Rikiya","Action, Mystery, Sci-Fi, Seinen",Black Bullet - Kagetane Hiruko.avi,09_Kagetane.jpg,,FALSE
Shugo Chara,"Hinamori, Amu","Itou, Kanae","Comedy, Magic, School, Shoujo",Chugo Chara - Amu.mp4,10_Amu.png,,FALSE
Cowboy Bebop,Spike Spiegel,"Yamadera, Kouichi","Action, Adventure, Comedy, Drama, Sci-Fi, Space",Cowboy Bebop - Spike.mp4,11_Spike.jpg,,FALSE
DanMachi (Is It Wrong to Try to Pick Up Girls in a Dungeon?),Bell Cranel,"Matsuoka, Yoshitsugu","Action, Adventure, Comedy, Fantasy, Romance, Shoujo",Danmachi - Bell Cranel.avi,12_Bell Cranel.jpg,,FALSE
Date a Live,"Yoshino ""Hermit""","Nomizu, Iori","Comedy, Harem, Mecha, Romance, School, Sci-Fi",Date A Live - Yoshino.avi,13_Yoshino.png,,FALSE
Dragonball Z,"Son, Goku","Nozawa, Masako","Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",DBZ - Goku (jap).mp4,14_Goku.jpg,,FALSE
Jojo's Bizarre Adventure: Diamond Is Unbreakable,"Higashikata, Josuke ""Jojo""","Ono, Yuuki","Action, Adventure, Comedy, Drama, Shounen, Supernatural",Diamond Is Unbreakable - JoJo's Bizarre Adventure - Josuke.avi,15_Josuke.png,,FALSE
Digimon,,,"Action, Adventure, Comedy, Fantasy, Kids",Digimon - Hikari.mp4,16_Hikari.gif,,FALSE
Elfen Lied,,,"Action, Drama, Horror, Psychological, Romance, Seinen, Supernatural",Elfen Lied -Nyu.mp4,17_Nyu`Lucy.jpg,,FALSE
Eyeshield 21,,,"Action, Comedy, Shounen, Sports",Eyeshield 21 - Hiruma.mp4,18_Hiruma.jpg,,FALSE
Fairy Tail,,,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",Fairy Tail - Erza Scarlet.avi,19_Erza.png,,FALSE
Fate/Zero (?),,,"Action, Fantasy, Supernatural",Fate - Saber.mp4,20_Saber.png,,FALSE
Fullmetal Alchemist,,,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",FMA -Trisha Elric.mp4,21_Trisha Elric.jpg,,FALSE
God Eater,,,"Action, Demons, Fantasy, Military, Supernatural",God Eater   Lindow Amamiya.avi,22_Lindow.jpg,,FALSE
Golden Time,,,"Comedy, Romance, Seinen",Golden Time - Tada Banri.avi,23_Tada Banri.jpg,,FALSE
Guilty Crown,,,"Action, Drama, Sci-Fi, Super Power",Guilty Crown - Inori Yuzuriha.avi,24_Inori.jpg,,FALSE
Mobile Suit Gundam: Iron-blooded Orphans,,,"Action, Drama, Mecha, Sci-Fi, Space",Gundam Iron Blooded orphans - Mikazuki.avi,25_Mikazuki Augus.png,,FALSE
Mobile Suit Gundam Seed,,,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",Gundam Seed - Kira Yamato.avi,26_Kira.jpg,,FALSE
Haikyuu,,,"Comedy, Drama, School, Shounen, Sports",Haikyuu - Bokuto.avi,27_Bokuto.jpg,,FALSE
Hibike Euphonium,,,"Drama, Music, School",Hibike Euphonium - Reina.avi,28_Reina.jpg,,FALSE
Jojo's Bizarre Adventure,,,"Action, Adventure, Shounen, Supernatural, Vampire",Jojo - Dio Brando.mp4,29_Dio Brando.png,,FALSE
Kill la Kill,,,"Action, Comedy, School, Super Power",KLK - Ryuko.mp4,30_Ryuko.jpg,,FALSE
Kuroko no Basuke,,,"Comedy, School, Shounen, Sports",KnB - Aomine.mp4,31_Aomine.png,,FALSE
Kuroko no Basuke,,,"Comedy, School, Shounen, Sports",KnB - Kagami.mp4,32_Kagami.jpg,,FALSE
Magi: The Labyrinth of Magic,,,"Action, Adventure, Fantasy, Magic, Shounen",Magi - Aladdin.mp4,33_Aladdin.png,,FALSE
Magi: The Labyrinth of Magic,,,"Action, Adventure, Fantasy, Magic, Shounen",Magi -Sinbad.mp4,34_Sinbad.png,,FALSE
Mawaru Penguindrum,,,"Comedy, Drama, Mystery, Psychological",Mawaru Penguindrum - Himari.avi,35_Himari Penguindrum.jpg,,FALSE
Mirai Nikki,,,"Action, Mystery, Psychological, Shounen, Supernatural, Thriller",Mirai Nikki - Gasai Yuno.avi,36_Gasai Yuno.png,,FALSE
Nagi no Asukara,,,"Drama, Fantasy, Romance",Nagi no Asukara - Miuna.avi,37_Miuna.png,,FALSE
Naruto,,,"Action, Comedy, Martial Arts, Shounen, Super Power",Naruto - Tsunade.mp4,38_Tsunade.png,,FALSE
Neon Genesis Evangelion,,,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",Neon Genesis Evangelion - Kaworu Nagisa.avi,39_Nagisa Kaworu.png,,FALSE
Neon Genesis Evangelion,,,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",NGE - Asuka.mp4,40_Asuka.jpg,,FALSE
No Game No Life,,,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",NGNL - Sora.mp4,41_Sora.jpg,,FALSE
One Piece,,,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",One Piece - Igaram.mp4,42_Igaram.jpg,,FALSE
One Piece,,,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",One Piece - Luffy.mp4,43_Luffy.png,,FALSE
Ouran High School Host Club,,,"Comedy, Harem, Romance, School, Shoujo",Ouran High - Honey-Senpai.mp4,44_Honey senpai.jpg,,FALSE
Pokemon,,,"Action, Adventure, Comedy, Fantasy, Kids",Pokemon - Ash.mp4,45_Ash.gif,,FALSE
Re:ZERO -Starting Life in Another World-,,,"Drama, Fantasy, Thriller",Re zero - Emilia.avi,46_Emilia.jpg,,FALSE
Re:ZERO -Starting Life in Another World-,,,"Drama, Fantasy, Thriller",ReZero - Natsuki Subaru.avi,47_Natsuki Subaru.jpg,,FALSE
Saekano: How to Raise a Boring Girlfriend,,,"Comedy, Ecchi, Harem, Romance, School",Saenai Heroine no Sodatekata - Katou.avi,48_Katou.png,,FALSE
Sword Art Online,,,"Action, Adventure, Fantasy, Game, Romance",SaO - Kirito.mp4,49_Kirito.png,,FALSE
Sengoku Basara,,,"Action, Historical, Martial Arts, Samurai, Super Power",Sengoku Basara - Date Masamune.mp4,50_Date Masamune.jpg,,FALSE
Attack on Titan,,,"Action, Drama, Fantasy, Shounen, Super Power",Shingeki no kyojin - Sasha.avi,51_Sasha.png,,FALSE
Special A,,,"Comedy, Romance, School, Shoujo",Special A -Takeshima Kei.mp4,52_Takeshima Kei.jpg,,FALSE
Strawberry Panic,,,"Drama, Romance, School, Shoujo Ai",Strawberry Panic - Aoi Nagisa.avi,53_Aoi Nagisa.jpg,,FALSE
Toaru Kagaku no Railgun S,,,"Action, Sci-Fi, Super Power",To Aru Kagaku no Railgun S - Misaka Mikoto.avi,54_Misaka Mikoto.png,,FALSE
Tonari no Kaibutsu-kun,"Natsume, Asako","Tanezaki, Atsumi","Comedy, Romance, School, Shoujo, Slice of Life",Tonari no Kaibutsu-kun - Natsume.mp4,55_Natsume.png,,FALSE
Tsubasa: Tokyo Revelations,Kurogane,"Inada, Tetsu","Action, Adventure, Drama, Fantasy, Romance, Shounen",Tsubasa Reservoir Chronicles - Kurogane.avi,56_Kurogane.jpg,,FALSE
Tengen Toppa Gurren Lagann,"Lordgenome ""Spiral King""","Ikeda, Narushi","Action, Adventure, Comedy, Mecha, Sci-Fi",TTGL - Lord Genome.mp4,57_Lord Genome.PNG,,FALSE
Zankyou no Terror,"Twelve ""Sphinx #2(?)""","Saito, Soma","Psychological, Thriller",Zankyou no Terror - Twelve.mp4,58_Twelve.jpg,,FALSE
Zetsuen no Tempest,"Takigawa, Yoshino","Uchiyama, Kouki","Action, Drama, Fantasy, Magic, Mystery, Psychological, Shounen",Zetsuen no Tempest - Yoshino.mp4,59_Zetsuen Yoshino.png,,FALSE
